id,external_id,judgments_count,missed_count,golds_count,forgiven_count,channel,country,region,city,last_ip,flagged_at,rejected_at,bonus,flag_reason,trust_overall,submission_rate
45499788,101040,20,2,8,0,feca,USA,AZ,Chandler,23.83.129.201,,,0,,0.75,300
45501757,101553,0,0,0,0,feca,,,,,,,0,,1,0
45504190,102064,13,0,7,0,feca,USA,NJ,Clifton,104.131.176.234,,,0,,1,260
45541073,110143,0,0,0,0,feca,,,,,,,0,,1,0
45545657,60405351,5,1,5,0,clixsense,ITA,9,Milan,188.216.83.180,,,0,,0.8,300
45559739,62ABCC7201D07FBA0CAD5F2CDE485D23,0,0,0,0,neodev,,,,,,,0,,1,0
45565769,67852983,0,0,0,0,clixsense,,,,,,,0,,1,0
45567834,5264CAA3E84433E10CAD5F2CDE485D23,0,0,0,0,neodev,,,,,,,0,,1,0
45573244,68022332,0,0,0,0,clixsense,,,,,,,0,,1,0
45581487,120725,20,1,8,0,feca,COL,2,Medellin,181.137.231.77,,,0,,0.875,450
45586927,122233,0,0,0,0,feca,,,,,,,0,,1,0
45598474,125163,20,0,8,0,feca,USA,NY,New York,172.255.93.173,,,0,,1,300
45598689,125275,20,1,8,0,feca,USA,NJ,Clifton,104.236.205.233,,,0,,0.875,400
45600836,126579,0,0,0,0,feca,,,,,,,0,,1,0
45602612,127619,0,0,0,0,feca,,,,,,,0,,1,0
45617995,AB51A6054A9942B5143E2E32438F3B0E,0,0,0,0,neodev,,,,,,,0,,1,0
45621590,130927,20,1,8,0,feca,VNM,44,Hanoi,123.16.35.72,,,0,,0.875,300
45635217,17F73D42D1B5A761EEFE8AB986B65DBB,0,0,0,0,neodev,,,,,,,0,,1,0
45638387,136424,0,0,0,0,feca,,,,,,,0,,1,0
45643106,137602,0,0,0,0,feca,,,,,,,0,,1,0
45658808,141615,0,0,0,0,feca,,,,,,,0,,1,0
45667563,144396,20,2,8,0,feca,VEN,25,Caracas,186.167.244.96,,,0,,0.75,300
45680555,146880,0,0,0,0,feca,,,,,,,0,,1,0
45681830,147139,0,0,0,0,feca,,,,,,,0,,1,0
45698199,487B640DDCFB78D5204CFC72B9696897,5,1,5,0,neodev,GBR,V2,Glasgow,62.233.117.234,,,0,,0.8,0
45698683,149905,0,0,0,0,feca,,,,,,,0,,1,0
45699459,71678532,20,0,8,0,clixsense,VEN,25,Caracas,186.167.248.27,,,0,,1,600
45699998,136804,0,0,0,0,feca,,,,,,,0,,1,0
45701790,71729535,0,0,0,0,clixsense,,,,,,,0,,1,0
45703000,151041,15,1,7,0,feca,USA,NY,New York,172.255.93.173,,,0,,0.8571,300
